id,start_time,end_time,pallets_loaded,Duration,DurationFormatted
Truck_85,2023-12-15 00:49:32.553,2023-12-15 02:37:31.660,20,0 days 01:47:59.107000,1:47
Truck_86,2023-12-15 02:44:56.490,2023-12-15 04:26:45.963,20,0 days 01:41:49.473000,1:41
Truck_87,2023-12-15 04:29:25.637,2023-12-15 10:09:15.587,20,0 days 05:39:49.950000,5:39
Truck_88,2023-12-15 10:18:44.457,2023-12-15 13:17:38.240,20,0 days 02:58:53.783000,2:58
Truck_89,2023-12-15 13:18:29.390,2023-12-16 01:10:03.917,20,0 days 11:51:34.527000,11:51
Truck_90,2023-12-16 01:17:29.167,2023-12-18 06:05:55.020,20,2 days 04:48:25.853000,52:48
Truck_91,2023-12-18 06:08:20.573,2023-12-18 08:29:03.237,20,0 days 02:20:42.664000,2:20
Truck_92,2023-12-18 08:30:09.087,2023-12-18 11:09:18.560,20,0 days 02:39:09.473000,2:39
Truck_93,2023-12-18 11:09:57.180,2023-12-18 23:02:07.493,20,0 days 11:52:10.313000,11:52
Truck_94,2023-12-18 23:11:53.240,2023-12-19 02:26:18.140,20,0 days 03:14:24.900000,3:14
Truck_95,2023-12-19 03:24:33.733,2023-12-19 06:19:55.930,20,0 days 02:55:22.197000,2:55
Truck_96,2023-12-19 06:21:07.827,2023-12-19 07:19:07.370,20,0 days 00:57:59.543000,0:57
Truck_97,2023-12-19 07:20:44.340,2023-12-19 08:26:24.127,20,0 days 01:05:39.787000,1:5
Truck_98,2023-12-19 08:29:08.133,2023-12-19 10:14:59.953,20,0 days 01:45:51.820000,1:45
Truck_99,2023-12-19 10:17:45.520,2023-12-19 11:43:57.510,20,0 days 01:26:11.990000,1:26
Truck_100,2023-12-19 12:38:15.170,2023-12-19 14:25:34.153,20,0 days 01:47:18.983000,1:47
Truck_101,2023-12-19 14:28:20.237,2023-12-19 19:01:20.777,20,0 days 04:33:00.540000,4:33
Truck_102,2023-12-19 19:05:23.240,2023-12-19 22:53:07.737,20,0 days 03:47:44.497000,3:47
Truck_103,2023-12-19 22:54:09.823,2023-12-20 02:05:22.897,20,0 days 03:11:13.074000,3:11
Truck_104,2023-12-20 02:09:07.467,2023-12-20 04:13:03.020,20,0 days 02:03:55.553000,2:3
Truck_105,2023-12-20 04:22:30.783,2023-12-20 06:53:11.413,20,0 days 02:30:40.630000,2:30
Truck_106,2023-12-20 06:53:37.670,2023-12-20 07:21:48.067,20,0 days 00:28:10.397000,0:28
Truck_107,2023-12-20 07:22:51.983,2023-12-20 08:37:52.597,20,0 days 01:15:00.614000,1:15
Truck_108,2023-12-20 08:39:01.823,2023-12-20 13:14:55.900,20,0 days 04:35:54.077000,4:35
Truck_109,2023-12-20 13:20:23.660,2023-12-20 16:03:59.053,20,0 days 02:43:35.393000,2:43
Truck_110,2023-12-20 16:09:11.543,2023-12-20 18:57:49.053,20,0 days 02:48:37.510000,2:48
Truck_111,2023-12-20 18:59:28.533,2023-12-20 20:14:09.763,20,0 days 01:14:41.230000,1:14
Truck_112,2023-12-20 20:20:20.287,2023-12-21 00:55:16.693,20,0 days 04:34:56.406000,4:34
Truck_113,2023-12-21 00:57:14.347,2023-12-21 03:27:28.527,20,0 days 02:30:14.180000,2:30
Truck_114,2023-12-21 03:28:45.733,2023-12-21 06:30:26.887,20,0 days 03:01:41.154000,3:1
Truck_115,2023-12-21 06:34:48.720,2023-12-21 11:15:22.147,20,0 days 04:40:33.427000,4:40
Truck_116,2023-12-21 11:17:17.147,2023-12-21 16:25:18.097,20,0 days 05:08:00.950000,5:8
Truck_117,2023-12-21 18:06:10.667,2023-12-21 19:54:14.290,20,0 days 01:48:03.623000,1:48
Truck_118,2023-12-21 20:00:40.950,2023-12-21 22:53:22.343,20,0 days 02:52:41.393000,2:52
Truck_119,2023-12-21 22:53:45.020,2023-12-22 01:25:29.617,20,0 days 02:31:44.597000,2:31
Truck_120,2023-12-22 01:25:59.893,2023-12-22 03:27:34.223,20,0 days 02:01:34.330000,2:1
Truck_121,2023-12-22 03:31:34.460,2023-12-22 04:23:05.240,20,0 days 00:51:30.780000,0:51
Truck_122,2023-12-22 04:47:53.630,2023-12-22 07:09:59.643,20,0 days 02:22:06.013000,2:22
Truck_123,2023-12-22 07:17:08.417,2023-12-22 09:45:54.430,20,0 days 02:28:46.013000,2:28
Truck_124,2023-12-22 09:46:48.033,2023-12-22 11:03:30.977,20,0 days 01:16:42.944000,1:16
Truck_125,2023-12-22 11:04:43.383,2023-12-22 12:41:30.340,20,0 days 01:36:46.957000,1:36
Truck_126,2023-12-22 12:44:27.593,2023-12-22 22:52:04.900,20,0 days 10:07:37.307000,10:7
Truck_127,2023-12-22 22:54:15.193,2023-12-23 01:03:11.570,20,0 days 02:08:56.377000,2:8
Truck_128,2023-12-23 01:03:37.777,2023-12-23 04:56:12.587,20,0 days 03:52:34.810000,3:52
Truck_129,2023-12-23 05:05:37.433,2023-12-27 07:50:32.773,20,4 days 02:44:55.340000,98:44
Truck_130,2023-12-27 08:11:20.310,2023-12-27 10:06:49.070,20,0 days 01:55:28.760000,1:55
Truck_131,2023-12-27 10:08:34.193,2023-12-27 13:31:08.580,20,0 days 03:22:34.387000,3:22
