workorderno,Wo_Count,Pcs On Pallet
85590555,1,12
85590774,1,32
85590775,1,12
85590805,1,32
85590860,1,32
85590866,1,32
85591368,1,32
85591558,1,32
85591560,1,18
85591565,1,18
85592212,1,32
85592213,1,32
85592217,1,32
85592787,1,48
85593256,1,32
85593420,1,48
85594560,1,32
85594561,1,32
85594562,1,32
85594563,1,32
85595018,1,32
85595381,1,18
85595685,1,32
85595865,1,48
85595867,1,32
85596052,1,18
85596174,1,32
85596175,1,32
85596176,1,32
85596200,1,32
85596524,1,18
85596537,1,18
85596838,1,48
85596840,1,32
85596841,1,32
85596849,1,18
85596851,1,18
85596852,1,18
85596853,1,18
85597009,1,32
85597010,1,32
85597017,1,18
85597018,1,18
85597019,1,18
85597024,1,18
85597283,1,32
85597284,1,32
85597285,1,32
85597286,1,32
85597287,1,48
85597288,1,32
85597289,1,32
85597295,1,18
85597296,1,18
85597314,1,18
85597923,1,32
85598841,1,18
85598843,1,18
85599307,1,32
85599366,1,18
85599367,1,18
85599481,1,18
85599804,1,32
85600182,1,32
85600184,1,32
85600805,1,32
85600806,1,32
85600880,1,18
85602107,1,18
85602128,1,32
85602224,1,32
85602337,1,32
85603523,1,32
85603524,1,32
85603525,1,32
85603526,1,32
85603533,1,32
85603534,1,32
85603727,1,18
85604036,1,18
85604041,1,18
85604054,1,18
85604152,1,18
85604181,1,18
85604182,1,18
85604183,1,18
85604230,1,18
85604233,1,18
85604234,1,18
85604235,1,18
85604237,1,18
85604239,1,18
85604240,1,18
85604244,1,18
85604246,1,18
85604248,1,18
85604249,1,18
85604252,1,18
85604253,1,18
85604259,1,48
85604645,1,18
85606425,1,18
85609003,1,32
85610643,1,18
85610725,1,18
85610727,1,18
85610728,1,18
85610764,1,18
85610938,1,32
85611155,1,32
85611162,1,32
85611163,1,32
85611164,1,32
85611165,1,32
85611166,1,32
85611170,1,18
85611686,1,48
85612493,1,18
85612494,1,18
4122037,2,12
4122682,2,12
85284177,2,32
85288945,2,32
85352986,2,32
85354335,2,12
85363852,2,12
85368842,2,48
85373593,2,18
85392575,2,42
85392980,2,12
85392982,2,12
85399228,2,12
85406959,2,12
85408072,2,12
85412438,2,32
85417481,2,42
85417482,2,42
85418430,2,12
85419383,2,12
85422351,2,42
85429709,2,12
85429780,2,18
85429782,2,18
85430068,2,32
85432096,2,12
85434180,2,32
85435998,2,12
85437164,2,18
85437763,2,12
85441449,2,18
85441509,2,32
85441510,2,32
85441512,2,32
85441514,2,32
85441515,2,48
85441640,2,32
85442099,2,18
85442847,2,18
85445292,2,12
85447222,2,42
85448520,2,12
85449414,2,32
85457044,2,32
85459140,2,48
85459233,2,12
85461889,2,12
85462554,2,42
85462864,2,18
85464233,2,42
85464549,2,32
85464937,2,48
85465380,2,48
85465746,2,12
85466717,2,12
85467013,2,32
85472652,2,12
85476735,2,32
85477044,2,32
85478152,2,12
85478412,2,32
85478413,2,32
85481187,2,18
85482721,2,18
85483684,2,32
85484398,2,48
85485131,2,48
85485204,2,48
85485604,2,18
85485785,2,40
85486690,2,32
85487970,2,48
85489913,2,48
85490303,2,32
85491039,2,12
85492164,2,18
85495447,2,48
85496174,2,18
85497719,2,32
85498000,2,32
85498005,2,48
85498035,2,32
85498552,2,12
85498592,2,18
85498593,2,32
85498795,2,12
85501889,2,32
85502096,2,32
85502277,2,48
85502416,2,32
85502465,2,48
85502486,2,32
85503422,2,48
85503593,2,32
85504008,2,48
85504869,2,32
85504898,2,12
85505178,2,18
85505384,2,48
85505917,2,32
85506017,2,48
85506027,2,32
85506370,2,18
85506857,2,48
85507147,2,18
85507973,2,18
85508575,2,48
85508885,2,18
85509554,2,48
85509761,2,32
85509820,2,32
85509843,2,48
85509958,2,48
85510034,2,32
85510043,2,32
85510113,2,18
85510138,2,32
85510279,2,32
85510483,2,42
85510540,2,32
85510941,2,32
85511520,2,12
85511583,2,32
85511584,2,32
85511585,2,32
85512824,2,18
85513057,2,12
85513386,2,18
85513390,2,18
85513393,2,18
85513394,2,18
85513395,2,18
85513397,2,18
85513651,2,32
85513747,2,18
85514082,2,48
85514427,2,32
85514537,2,18
85514545,2,32
85514560,2,18
85515506,2,32
85515544,2,32
85515653,2,32
85515678,2,18
85516736,2,32
85517135,2,42
85517277,2,32
85517341,2,54
85517659,2,42
85517969,2,32
85518442,2,42
85519110,2,48
85520442,2,18
85521599,2,32
85521600,2,12
85521620,2,12
85521633,2,18
85521634,2,18
85521990,2,18
85522301,2,32
85522326,2,32
85522350,2,32
85522375,2,32
85522433,2,32
85523091,2,48
85523296,2,18
85524546,2,32
85525260,2,32
85525270,2,48
85526563,2,32
85526870,2,32
85528071,2,48
85528380,2,32
85528646,2,18
85528647,2,18
85529144,2,32
85529374,2,32
85530022,2,48
85530112,2,32
85531241,2,48
85531757,2,18
85531760,2,18
85532019,2,48
85532292,2,48
85532295,2,32
85532298,2,32
85532300,2,32
85532303,2,12
85532309,2,18
85532311,2,18
85532312,2,18
85532313,2,18
85532316,2,12
85532318,2,18
85532320,2,18
85533533,2,32
85533787,2,18
85534245,2,48
85534248,2,32
85534461,2,48
85534741,2,32
85534749,2,32
85534754,2,18
85534772,2,12
85535009,2,32
85535010,2,32
85535280,2,48
85536316,2,32
85537204,2,32
85537650,2,32
85537696,2,32
85537708,2,48
85537715,2,32
85538385,2,48
85538665,2,12
85538666,2,18
85538688,2,18
85538856,2,12
85538900,2,32
85539107,2,18
85539378,2,12
85539410,2,18
85539739,2,18
85540202,2,18
85540483,2,12
85541064,2,48
85541114,2,32
85542109,2,54
85543384,2,48
85543683,2,32
85543870,2,42
85545217,2,18
85545253,2,18
85545255,2,18
85545268,2,18
85546592,2,32
85546603,2,12
85546736,2,32
85546765,2,18
85546766,2,32
85546789,2,18
85550082,2,32
85551643,2,32
85552221,2,18
85552222,2,18
85552304,2,18
85552333,2,18
85552520,2,18
85552523,2,18
85552524,2,18
85552526,2,18
85552530,2,18
85552531,2,18
85552535,2,18
85552688,2,12
85553264,2,32
85553385,2,12
85553404,2,18
85555063,2,18
85555293,2,48
85555319,2,32
85555361,2,32
85555664,2,48
85556170,2,18
85556474,2,12
85556912,2,32
85556914,2,32
85557351,2,18
85559397,2,18
85559477,2,32
85559883,2,12
85560213,2,32
85560770,2,48
85560946,2,32
85561845,2,32
85562198,2,32
85562449,2,32
85562951,2,32
85564567,2,18
85564600,2,18
85564601,2,18
85564610,2,32
85566523,2,32
85566960,2,48
85567006,2,32
85567943,2,32
85568489,2,32
85571013,2,32
85571195,2,48
85571861,2,32
85572096,2,32
85572334,2,18
85572514,2,18
85572839,2,32
85572845,2,18
85572891,2,48
85573436,2,32
85573437,2,18
85573518,2,18
85573748,2,48
85574177,2,12
85574248,2,12
85574251,2,18
85575128,2,48
85575238,2,32
85575824,2,18
85577459,2,32
85577826,2,18
85577950,2,12
85577959,2,32
85577965,2,18
85577972,2,18
85577979,2,18
85577994,2,32
85578597,2,32
85579232,2,18
85579589,2,32
85583962,2,32
85583966,2,32
85584056,2,18
85584185,2,32
85584389,2,18
85584521,2,18
85584740,2,48
85585327,2,32
85585434,2,32
85585447,2,32
85585478,2,18
85585601,2,12
85585895,2,32
85585898,2,48
85585958,2,18
85585965,2,32
85586000,2,18
85586253,2,32
85588903,2,32
85589472,2,32
85589530,2,18
85589709,2,32
85589811,2,32
85589812,2,12
85589847,2,18
85590542,2,12
85590546,2,18
85590552,2,18
85590790,2,18
85593422,2,32
85596844,2,18
85596847,2,18
85597014,2,18
85597021,2,18
85597103,2,48
85597293,2,12
85599480,2,18
85601411,2,32
85601701,2,32
85602864,2,18
85603550,2,48
85603851,2,18
85604039,2,18
85604040,2,18
85604154,2,18
85604238,2,18
85604245,2,18
85604250,2,18
85604707,2,18
85610604,2,18
85610729,2,18
85610732,2,18
85611156,2,48
85611171,2,18
85611685,2,48
85612506,2,18
85612508,2,18
85612608,2,48
4121145,3,32
85431297,3,32
85441748,3,12
85441799,3,32
85442548,3,12
85457043,3,32
85459230,3,12
85459244,3,42
85459330,3,18
85462312,3,32
85462867,3,12
85464546,3,32
85464770,3,32
85468893,3,18
85469792,3,42
85472648,3,18
85472807,3,12
85477085,3,12
85478037,3,32
85478432,3,18
85480050,3,32
85480087,3,48
85482377,3,48
85482724,3,32
85483430,3,18
85483681,3,48
85484263,3,32
85484275,3,32
85484402,3,32
85484853,3,32
85484899,3,42
85484903,3,32
85484904,3,32
85484905,3,32
85485445,3,32
85490745,3,32
85492041,3,12
85492042,3,12
85492159,3,12
85495444,3,32
85497602,3,32
85497800,3,32
85498542,3,18
85498555,3,18
85501888,3,48
85502097,3,32
85502098,3,32
85502099,3,32
85502548,3,32
85502590,3,48
85502834,3,48
85502838,3,48
85503290,3,18
85503613,3,48
85504196,3,32
85505386,3,48
85505394,3,32
85507658,3,18
85507764,3,32
85507972,3,18
85508584,3,48
85508945,3,12
85509570,3,18
85509823,3,32
85509844,3,32
85510189,3,32
85510194,3,12
85511582,3,18
85511638,3,48
85511772,3,48
85512295,3,18
85513063,3,18
85514555,3,18
85515545,3,54
85515575,3,32
85516754,3,48
85517298,3,18
85518013,3,32
85521101,3,32
85521636,3,18
85522392,3,32
85523600,3,18
85524907,3,48
85525261,3,32
85526883,3,32
85527935,3,48
85529952,3,18
85530111,3,32
85531709,3,8
85531721,3,32
85531978,3,18
85534246,3,32
85535123,3,18
85536212,3,12
85537268,3,18
85539164,3,32
85539493,3,18
85539594,3,12
85540275,3,18
85540984,3,40
85543610,3,32
85543700,3,48
85544071,3,32
85544631,3,48
85545238,3,12
85545243,3,18
85545246,3,18
85545715,3,32
85546767,3,18
85552534,3,18
85552678,3,32
85552713,3,32
85553137,3,18
85553388,3,18
85553412,3,18
85553421,3,18
85554487,3,32
85555284,3,18
85556110,3,32
85556448,3,18
85557183,3,32
85557339,3,48
85559882,3,18
85561738,3,32
85562448,3,32
85565036,3,32
85568502,3,32
85568559,3,32
85568749,3,48
85571189,3,32
85571605,3,18
85572675,3,32
85572703,3,40
85572890,3,32
85573038,3,48
85573673,3,18
85574142,3,18
85577733,3,18
85577899,3,18
85577960,3,12
85578339,3,48
85578487,3,18
85579077,3,18
85579591,3,32
85579846,3,32
85579943,3,32
85579999,3,32
85581321,3,32
85582144,3,18
85582368,3,48
85583961,3,32
85583977,3,18
85585323,3,32
85585326,3,32
85585431,3,48
85585481,3,18
85585604,3,18
85585928,3,32
85586001,3,12
85589766,3,32
85589813,3,18
85590003,3,18
85590863,3,32
85591562,3,18
85593044,3,32
85593580,3,18
85595019,3,32
85597002,3,18
85597016,3,18
85597022,3,18
85598556,3,18
85599305,3,48
85601412,3,32
85601772,3,32
85603769,3,32
85603850,3,18
85604031,3,18
85604076,3,32
85604243,3,18
85610726,3,18
85283934,4,32
85413270,4,12
85413272,4,12
85420121,4,12
85435999,4,12
85438938,4,42
85441730,4,12
85442445,4,42
85444856,4,12
85458809,4,32
85459235,4,12
85459350,4,12
85462313,4,48
85464281,4,32
85464769,4,32
85476734,4,32
85477223,4,42
85480049,4,32
85482053,4,32
85482374,4,32
85484161,4,12
85486302,4,48
85488359,4,32
85489917,4,32
85491037,4,12
85492068,4,8
85492166,4,18
85498201,4,32
85498539,4,12
85498561,4,18
85503423,4,48
85503469,4,32
85505400,4,32
85505411,4,32
85506439,4,48
85507765,4,32
85509822,4,32
85511517,4,32
85512110,4,32
85513060,4,18
85513383,4,18
85513389,4,18
85513398,4,12
85515582,4,42
85515654,4,32
85518022,4,48
85522854,4,32
85523261,4,54
85525258,4,32
85526227,4,32
85526392,4,48
85529298,4,18
85529373,4,32
85530021,4,32
85531084,4,32
85531479,4,8
85531747,4,18
85534406,4,32
85535223,4,32
85535229,4,48
85537451,4,32
85537601,4,18
85539375,4,32
85539630,4,12
85539640,4,18
85542570,4,32
85543702,4,48
85545216,4,18
85545269,4,18
85546601,4,32
85546786,4,12
85549392,4,18
85550148,4,32
85550600,4,48
85552517,4,18
85552525,4,18
85552528,4,18
85553187,4,48
85553411,4,18
85555249,4,12
85555589,4,32
85555758,4,32
85556832,4,32
85560915,4,12
85561332,4,32
